run_id,model,dropout,graph_size,seed,auroc,auprc,ece,f1,cascade_size_mae,radius_hops_error,auroc_ci,latency_ms,peak_memory_mb
run_1784559391189_42_6aab9e,sage,0.0,small,42,0.8605079115385719,0.6710349912487622,0.265939859118512,0.6452560399464918,4.165228822139361,0.7670719656255488,"[0.8605079115385719, 0.8605079115385719]",7.185935974121094,0.0
run_1784559391330_101_6aab9e,sage,0.0,small,101,0.8132621405926151,0.7001613056283139,0.31775318311755046,0.7767161136698112,1.2587111530072284,1.0224057324429858,"[0.8132621405926151, 0.8132621405926151]",4.5166015625,0.0
run_1784559391420_2026_6aab9e,sage,0.0,small,2026,0.7665376743525059,0.8560869081435403,0.31488536745867723,0.6080432600203928,1.8194310471085384,0.14254162141143473,"[0.7665376743525059, 0.7665376743525059]",13.649940490722656,0.0
run_1784559391581_42_6aab9e,sage,0.0,medium,42,0.8605079115385719,0.6710349912487622,0.265939859118512,0.6452560399464918,4.165228822139361,0.7670719656255488,"[0.8605079115385719, 0.8605079115385719]",6.000995635986328,0.0
run_1784559391681_101_6aab9e,sage,0.0,medium,101,0.8132621405926151,0.7001613056283139,0.31775318311755046,0.7767161136698112,1.2587111530072284,1.0224057324429858,"[0.8132621405926151, 0.8132621405926151]",8.005619049072266,0.0
run_1784559391863_2026_6aab9e,sage,0.0,medium,2026,0.7665376743525059,0.8560869081435403,0.31488536745867723,0.6080432600203928,1.8194310471085384,0.14254162141143473,"[0.7665376743525059, 0.7665376743525059]",5.995988845825195,0.0
run_1784559391953_42_6aab9e,sage,0.2,small,42,0.8605079115385719,0.6710349912487622,0.265939859118512,0.6452560399464918,4.165228822139361,0.7670719656255488,"[0.8605079115385719, 0.8605079115385719]",4.000186920166016,0.0
run_1784559392039_101_6aab9e,sage,0.2,small,101,0.8132621405926151,0.7001613056283139,0.31775318311755046,0.7767161136698112,1.2587111530072284,1.0224057324429858,"[0.8132621405926151, 0.8132621405926151]",5.001306533813477,0.0
run_1784559392122_2026_6aab9e,sage,0.2,small,2026,0.7665376743525059,0.8560869081435403,0.31488536745867723,0.6080432600203928,1.8194310471085384,0.14254162141143473,"[0.7665376743525059, 0.7665376743525059]",5.591392517089844,0.0
run_1784559392209_42_6aab9e,sage,0.2,medium,42,0.8605079115385719,0.6710349912487622,0.265939859118512,0.6452560399464918,4.165228822139361,0.7670719656255488,"[0.8605079115385719, 0.8605079115385719]",6.000518798828125,0.0
